Date,Visitors,Bounce Rate,Cart Abandon Rate
1/1/2019,43,0.666733032,0.357631555
1/2/2019,30,0.633456557,0.358890073
1/3/2019,59,0.539129431,0.440094395
1/4/2019,35,0.322410498,0.330628055
1/5/2019,47,0.417679186,0.383664108
1/6/2019,23,0.623655336,0.425524517
1/7/2019,78,0.506081506,0.649943465
1/8/2019,34,0.310328609,0.237836744
1/9/2019,16,0.833855947,0.331287508
1/10/2019,40,0.705289955,0.634844708
1/11/2019,48,0.68826748,0.425560493
1/12/2019,60,0.289107367,0.357998802
1/13/2019,53,0.271815681,0.522440605
1/14/2019,24,0.603587569,0.630478281
1/15/2019,39,0.685566773,0.158959195
1/16/2019,19,0.598229975,0.587519381
1/17/2019,47,0.74969469,0.387373355
1/18/2019,44,0.030859977,0.380591502
1/19/2019,65,0.440658722,0.57359287
1/20/2019,39,0.652807358,0.642520579
1/21/2019,52,0.416781749,0.74129693
1/22/2019,44,0.403096991,0.668322899
1/23/2019,59,0.395969592,0.532637718
1/24/2019,47,0.130385162,0.972181805
1/25/2019,15,0.28018854,0.80214409
1/26/2019,57,0.361464634,0.446795486
1/27/2019,36,0.564944594,0.529823005
1/28/2019,17,0.912140495,0.573879626
1/29/2019,43,0.806833079,0.615061659
1/30/2019,45,0.679851073,0.144944954
1/31/2019,39,0.233682256,0.544850395
2/1/2019,49,0.242586599,0.748407512
2/2/2019,67,0.501797658,0.188803818
2/3/2019,20,0.284635487,0.560027923
2/4/2019,62,0.4716479,0.456304455
2/5/2019,21,0.286115361,0.391415366
2/6/2019,39,0.075905508,0.533218409
2/7/2019,91,0.483938048,0.4139233
2/8/2019,45,0.571129556,0.328583371
2/9/2019,44,0.528465557,0.422932293
2/10/2019,42,0.549364344,0.46336478
2/11/2019,61,0.536301332,0.318957986
2/12/2019,70,0.51464216,0.795736478
2/13/2019,51,0.711407797,0.562962324
2/14/2019,26,0.541555137,0.393625862
2/15/2019,44,0.511319148,0.431114612
2/16/2019,58,0.432463919,0.437674765
2/17/2019,41,0.326303786,0.748406825
2/18/2019,63,0.306163428,0.497245995
2/19/2019,33,0.411019024,0.30689341
2/20/2019,55,0.717225904,0.511666548
2/21/2019,70,0.587485811,0.393235657
2/22/2019,41,0.336457564,0.684445875
2/23/2019,64,0.485701571,0.319508717
2/24/2019,45,0.470587485,0.328755208
2/25/2019,65,0.611677599,0.555395688
2/26/2019,44,0.35061915,0.436316243
2/27/2019,45,0.584935096,0.429508183
2/28/2019,59,0.41082428,0.503064466
3/1/2019,53,0.489604433,0.584058894
3/2/2019,53,0.465713062,0.49867509
3/3/2019,72,0.369679304,0.319551175
3/4/2019,72,0.608397774,0.285077034
3/5/2019,69,0.756301635,0.323557911
3/6/2019,57,0.56053106,0.257423616
3/7/2019,31,0.287604214,0.403925082
3/8/2019,40,0.495834501,0.487953513
3/9/2019,39,0.553083724,0.264267835
3/10/2019,47,0.449278324,0.616744543
3/11/2019,23,0.658591437,0.950329057
3/12/2019,30,0.409709559,0.065097731
3/13/2019,67,0.4328138,0.348573275
3/14/2019,72,0.51333396,0.675268799
3/15/2019,44,0.3674115,0.504448611
3/16/2019,64,0.71053557,0.243170034
3/17/2019,52,0.482338008,0.675325938
3/18/2019,96,0.741804448,0.596356842
3/19/2019,50,0.358671154,0.507950119
3/20/2019,45,0.448931501,0.250686316
3/21/2019,51,0.330289172,0.454233529
3/22/2019,55,0.48308273,0.241481088
3/23/2019,24,0.644999832,0.648541329
3/24/2019,31,0.530356947,0.277647506
3/25/2019,51,0.511717779,0.095222136
3/26/2019,57,0.615796591,0.169448805
3/27/2019,60,0.554358095,0.391467491
3/28/2019,72,0.656299573,0.54965611
3/29/2019,48,0.470090919,0.475727879
3/30/2019,47,0.596969894,0.643748512
3/31/2019,61,0.633170289,0.253122328